offer_id	old_value	new_value
SML-MAR-T61008801N-SIYAH-38EU	SML-MAR-T61008801N-SIYAH	mands-SML-T61008801N
MAR-T61004666-SIYAH-44EU	SET5	mands-MAR-T61004666
MAR-T61004666-BEYAZ-36EU	SET5	mands-MAR-T61004666
MAR-T61004902F-BEYAZ-42EU	SET12	mands-MAR-T61004902F
MAR-T61004902F-SIYAH-44EU	SET12	mands-MAR-T61004902F
MAR-T81006470L-SIYAH-34EU	MAR-T81006470L-SIYAH	mands-MAR-T81006470L
MAR-T61004902F-BEYAZ-46EU	SET12	mands-MAR-T61004902F
MAR-T81006437Y-KREM-38EU	MAR-T81006437Y-KREM	mands-MAR-T81006437Y
SML-MAR-T61008801N-SIYAH-34EU	SML-MAR-T61008801N-SIYAH	mands-SML-T61008801N
MAR-T81006470T-SIYAH-46EU	MAR-T81006470T	mands-MAR-T81006470T
MAR-T61004666-SIYAH-46EU	SET5	mands-MAR-T61004666
MAR-T61005204N-BEJ-40EU	MAR-T61005204N-BEJ	mands-MAR-T61005204N
MAR-T61004902F-BEYAZ-44EU	SET12	mands-MAR-T61004902F
MAR-T33006762H-SIYAH-48EU	MAR-T33006762H-SIYAH	mands-MAR-T33006762H
MAR-T33006762H-SIYAH-40EU	MAR-T33006762H-SIYAH	mands-MAR-T33006762H
SML-MAR-T61008800F-SIYAH-42EU	SML-MAR-T61008800F-SIYAH	mands-SML-T61008800F
MAR-T81006470L-SIYAH-40EU	MAR-T81006470L-SIYAH	mands-MAR-T81006470L
SML-MAR-T61008800F-SIYAH-48EU	SML-MAR-T61008800F-SIYAH	mands-SML-T61008800F
MAR-T61004666-SIYAH-42EU	SET5	mands-MAR-T61004666
MAR-T81006470L-SIYAH-38EU	MAR-T81006470L-SIYAH	mands-MAR-T81006470L
MAR-T61004666-BEYAZ-34EU	SET5	mands-MAR-T61004666
MAR-T61004666-BEYAZ-44EU	SET5	mands-MAR-T61004666
MAR-T61004666-SIYAH-50EU	SET5	mands-MAR-T61004666
MAR-T61004666-SIYAH-38EU	SET5	mands-MAR-T61004666
MAR-T61005204N-BEJ-44EU	MAR-T61005204N-BEJ	mands-MAR-T61005204N
MAR-T61005204N-BEJ-38EU	MAR-T61005204N-BEJ	mands-MAR-T61005204N
SML-MAR-T61008800F-SIYAH-46EU	SML-MAR-T61008800F-SIYAH	mands-SML-T61008800F
SML-MAR-T61008800F-SIYAH-50EU	SML-MAR-T61008800F-SIYAH	mands-SML-T61008800F
MAR-T61003498B-1-34	T61003498B-1	mands-MAR-T61003498B
MAR-T61005780S-1-BEYAZ-38	set1	mands-MAR-T61005780S
MAR-T61004104-1-48	T61004104-1	mands-MAR-T61004104
MAR-T61005780S-1-SIYAH-36	set1	mands-MAR-T61005780S
MAR-T61005780S-1-SIYAH-40	set1	mands-MAR-T61005780S
MAR-T61002030X-1-44	MAR-T61002030X	mands-MAR-T61002030X
MAR-T61004104-1-44	T61004104-1	mands-MAR-T61004104
MAR-T61005780S-1-BEYAZ-42	set1	mands-MAR-T61005780S
MAR-T61005780S-1-BEYAZ-40	set1	mands-MAR-T61005780S
MAR-T61002030X-1-46	MAR-T61002030X	mands-MAR-T61002030X
MAR-T61003498B-1-36	T61003498B-1	mands-MAR-T61003498B
MAR-T61005780S-1-BEYAZ-36	set1	mands-MAR-T61005780S
MAR-T61002030X-1-40	MAR-T61002030X	mands-MAR-T61002030X
MAR-T61005780S-1-SIYAH-42	set1	mands-MAR-T61005780S
MAR-T61004104-1-50	T61004104-1	mands-MAR-T61004104
MAR-T61003498B-1-44	T61003498B-1	mands-MAR-T61003498B
MAR-T61004104-1-42	T61004104-1	mands-MAR-T61004104
MAR-T61002030X-1-48	MAR-T61002030X	mands-MAR-T61002030X
MAR-T61002030X-1-36	MAR-T61002030X	mands-MAR-T61002030X
MAR-T61005780S-1-BEYAZ-46	set1	mands-MAR-T61005780S
MAR-T61002030X-1-42	MAR-T61002030X	mands-MAR-T61002030X
MAR-T61003498B-1-38	T61003498B-1	mands-MAR-T61003498B
MAR-T61005780S-1-SIYAH-44	set1	mands-MAR-T61005780S
MAR-T61004104-1-40	T61004104-1	mands-MAR-T61004104
MAR-T61004104-1-38	T61004104-1	mands-MAR-T61004104
MAR-T61004930P-1-BEYAZ-36	SET3	mands-MAR-T61004930P
MAR-T61002030X-1-50	MAR-T61002030X	mands-MAR-T61002030X
MAR-T61002030X-1-34	MAR-T61002030X	mands-MAR-T61002030X
MAR-T61005780S-1-SIYAH-38	set1	mands-MAR-T61005780S
MAR-T61005022M-1-PEMBE-34	set2	mands-MAR-T61005022M
MAR-T61004930P-1-BEYAZ-48	SET3	mands-MAR-T61004930P
MAR-T61003498B-1-40	T61003498B-1	mands-MAR-T61003498B
MAR-T61004930P-1-BEYAZ-38	SET3	mands-MAR-T61004930P
MAR-T61005780S-1-SIYAH-46	set1	mands-MAR-T61005780S
MAR-T61002030X-1-38	MAR-T61002030X	mands-MAR-T61002030X
MAR-T61004930P-1-BEYAZ-42	SET3	mands-MAR-T61004930P
MAR-T61004930P-1-SIYAH-34	SET3	mands-MAR-T61004930P
MAR-T61004930P-1-SIYAH-48	SET3	mands-MAR-T61004930P
MAR-T61005022M-1-SIYAH-50	set2	mands-MAR-T61005022M
MAR-T61004902E-1-50	MAR-T61004902E	mands-MAR-T61004902E
MAR-T61005022M-1-PEMBE-52	set2	mands-MAR-T61005022M
MAR-T61004902E-1-36	MAR-T61004902E	mands-MAR-T61004902E
MAR-T61004102-1-SIYAH-40	SET5	mands-MAR-T61004102
MAR-T61003498B-1-42	T61003498B-1	mands-MAR-T61003498B
MAR-T61004104-1-46	T61004104-1	mands-MAR-T61004104
MAR-T61004930P-1-SIYAH-46	SET3	mands-MAR-T61004930P
MAR-T61004930P-1-BEYAZ-50	SET3	mands-MAR-T61004930P
MAR-T61004930P-1-BEYAZ-40	SET3	mands-MAR-T61004930P
MAR-T61004930P-1-BEYAZ-34	SET3	mands-MAR-T61004930P
MAR-T61004902E-1-44	MAR-T61004902E	mands-MAR-T61004902E
MAR-T61005022M-1-SIYAH-42	set2	mands-MAR-T61005022M
MAR-T61005022M-1-PEMBE-42	set2	mands-MAR-T61005022M
MAR-T61004902E-1-46	MAR-T61004902E	mands-MAR-T61004902E
MAR-T61004930P-1-BEYAZ-44	SET3	mands-MAR-T61004930P
MAR-T61004902E-1-40	MAR-T61004902E	mands-MAR-T61004902E
MAR-T61004930P-1-SIYAH-36	SET3	mands-MAR-T61004930P
MAR-T61004930P-1-SIYAH-40	SET3	mands-MAR-T61004930P
MAR-T61004902E-1-38	MAR-T61004902E	mands-MAR-T61004902E
MAR-T61004902E-1-42	MAR-T61004902E	mands-MAR-T61004902E
MAR-T61004930P-1-BEYAZ-46	SET3	mands-MAR-T61004930P
MAR-T61004902E-1-48	MAR-T61004902E	mands-MAR-T61004902E
MAR-T61004100-1-PEMBE-44	SET4	mands-MAR-T61004100
MAR-T61004930P-1-SIYAH-42	SET3	mands-MAR-T61004930P
MAR-T61004930P-1-SIYAH-50	SET3	mands-MAR-T61004930P
MAR-T32006762H-1-36	MAR-T32006762H	mands-MAR-T32006762H
MAR-T61005022M-1-SIYAH-46	set2	mands-MAR-T61005022M
MAR-T61005022M-1-PEMBE-40	set2	mands-MAR-T61005022M
MAR-T61004287-1-SIYAH-40	SET6	mands-MAR-T61004287
MAR-T61004102-1-SIYAH-42	SET5	mands-MAR-T61004102
MAR-T61004902E-1-34	MAR-T61004902E	mands-MAR-T61004902E
MAR-T61004100-1-SIYAH-46	SET4	mands-MAR-T61004100
MAR-T61005022M-1-SIYAH-44	set2	mands-MAR-T61005022M
MAR-T61004100-1-SIYAH-44	SET4	mands-MAR-T61004100
MAR-T61005022M-1-PEMBE-36	set2	mands-MAR-T61005022M
MAR-T32006762H-1-40	MAR-T32006762H	mands-MAR-T32006762H
MAR-T61004100-1-PEMBE-48	SET4	mands-MAR-T61004100
MAR-T61004102-1-PEMBE-46	SET5	mands-MAR-T61004102
MAR-T61004100-1-SIYAH-42	SET4	mands-MAR-T61004100
MAR-T61004102-1-PEMBE-40	SET5	mands-MAR-T61004102
MAR-T32006762H-1-46	MAR-T32006762H	mands-MAR-T32006762H
MAR-T61004100-1-PEMBE-42	SET4	mands-MAR-T61004100
MAR-T61005022M-1-PEMBE-46	set2	mands-MAR-T61005022M
MAR-T61004100-1-SIYAH-50	SET4	mands-MAR-T61004100
MAR-T61004100-1-SIYAH-48	SET4	mands-MAR-T61004100
MAR-T61004100-1-PEMBE-36	SET4	mands-MAR-T61004100
MAR-T32006762H-1-50	MAR-T32006762H	mands-MAR-T32006762H
MAR-T61004100-1-SIYAH-36	SET4	mands-MAR-T61004100
MAR-T61004100-1-PEMBE-46	SET4	mands-MAR-T61004100
MAR-T32006762H-1-44	MAR-T32006762H	mands-MAR-T32006762H
MAR-T61004100-1-SIYAH-40	SET4	mands-MAR-T61004100
MAR-T61004100-1-PEMBE-38	SET4	mands-MAR-T61004100
MAR-T32006762H-1-48	MAR-T32006762H	mands-MAR-T32006762H
MAR-T61004102-1-PEMBE-36	SET5	mands-MAR-T61004102
MAR-T61004100-1-SIYAH-38	SET4	mands-MAR-T61004100
MAR-T61004102-1-PEMBE-48	SET5	mands-MAR-T61004102
MAR-T61004100-1-SIYAH-34	SET4	mands-MAR-T61004100
MAR-T61004100-1-PEMBE-34	SET4	mands-MAR-T61004100
MAR-T61004287-1-SIYAH-44	SET6	mands-MAR-T61004287
MAR-T61004287-1-SIYAH-46	SET6	mands-MAR-T61004287
MAR-T32006762H-1-42	MAR-T32006762H	mands-MAR-T32006762H
MAR-T61004936P-1-SIYAH-36	SET9	mands-MAR-T61004936P
MAR-T61004933P-1-SIYAH-46	SET8	mands-MAR-T61004933P
MAR-T61004287-1-SIYAH-36	SET6	mands-MAR-T61004287
MAR-T61004936P-1-SIYAH-38	SET9	mands-MAR-T61004936P
MAR-T61004933P-1-SIYAH-38	SET8	mands-MAR-T61004933P
MAR-T61004287-1-SIYAH-34	SET6	mands-MAR-T61004287
MAR-T61004287-1-SIYAH-38	SET6	mands-MAR-T61004287
MAR-T61004933P-1-BEYAZ-46	SET8	mands-MAR-T61004933P
MAR-T61004100-1-PEMBE-50	SET4	mands-MAR-T61004100
MAR-T61004287-1-BEYAZ-48	SET6	mands-MAR-T61004287
MAR-T61004933P-1-BEYAZ-44	SET8	mands-MAR-T61004933P
MAR-T61004287-1-SIYAH-42	SET6	mands-MAR-T61004287
MAR-T61004933P-1-BEYAZ-40	SET8	mands-MAR-T61004933P
MAR-T61004287-1-BEYAZ-44	SET6	mands-MAR-T61004287
MAR-T61004287-1-SIYAH-48	SET6	mands-MAR-T61004287
MAR-T61004936P-1-SIYAH-40	SET9	mands-MAR-T61004936P
MAR-T61004936P-1-SIYAH-34	SET9	mands-MAR-T61004936P
MAR-T61004936P-1-BEYAZ-34	SET9	mands-MAR-T61004936P
MAR-T61004287-1-BEYAZ-40	SET6	mands-MAR-T61004287
MAR-T61004933P-1-SIYAH-36	SET8	mands-MAR-T61004933P
MAR-T61004936P-1-BEYAZ-40	SET9	mands-MAR-T61004936P
MAR-T61004937A-1-34	T61004937A	mands-MAR-T61004937A
MAR-T61004287-1-BEYAZ-42	SET6	mands-MAR-T61004287
MAR-T61004933P-1-BEYAZ-34	SET8	mands-MAR-T61004933P
MAR-T61004933P-1-SIYAH-42	SET8	mands-MAR-T61004933P
MAR-T61004933P-1-BEYAZ-38	SET8	mands-MAR-T61004933P
MAR-T61004936P-1-SIYAH-42	SET9	mands-MAR-T61004936P
MAR-T61004933P-1-BEYAZ-42	SET8	mands-MAR-T61004933P
MAR-T61004936P-1-SIYAH-46	SET9	mands-MAR-T61004936P
MAR-T61004933P-1-SIYAH-44	SET8	mands-MAR-T61004933P
MAR-T61004930P-1-SIYAH-38	SET3	mands-MAR-T61004930P
MAR-T61004287-1-BEYAZ-46	SET6	mands-MAR-T61004287
MAR-T61004930P-1-SIYAH-44	SET3	mands-MAR-T61004930P
MAR-T61004102-1-SIYAH-38	SET5	mands-MAR-T61004102
MAR-T61005022M-1-PEMBE-48	set2	mands-MAR-T61005022M
MAR-T61004933P-1-BEYAZ-36	SET8	mands-MAR-T61004933P
MAR-T61004936P-1-BEYAZ-38	SET9	mands-MAR-T61004936P
MAR-T61004936P-1-BEYAZ-36	SET9	mands-MAR-T61004936P
MAR-T32006762H-1-38	MAR-T32006762H	mands-MAR-T32006762H
MAR-T61004937A-1-46	T61004937A	mands-MAR-T61004937A
MAR-T61004287-1-BEYAZ-38	SET6	mands-MAR-T61004287
MAR-T61004937A-1-40	T61004937A	mands-MAR-T61004937A
MAR-T61004936P-1-SIYAH-44	SET9	mands-MAR-T61004936P
MAR-T61004937A-1-44	T61004937A	mands-MAR-T61004937A
MAR-T61004933P-1-SIYAH-40	SET8	mands-MAR-T61004933P
MAR-T61004937A-1-42	T61004937A	mands-MAR-T61004937A
MAR-T61004937A-1-48	T61004937A	mands-MAR-T61004937A
MAR-T61004937A-1-36	T61004937A	mands-MAR-T61004937A
MAR-T61004937A-1-38	T61004937A	mands-MAR-T61004937A
MAR-T81006437T-1-44	MAR-T81006437T	mands-MAR-T81006437T
MAR-T81006437T-1-38	MAR-T81006437T	mands-MAR-T81006437T
MAR-T81006437T-1-46	MAR-T81006437T	mands-MAR-T81006437T
MAR-T61004936P-1-BEYAZ-42	SET9	mands-MAR-T61004936P
MAR-T81006437T-1-42	MAR-T81006437T	mands-MAR-T81006437T
MAR-T81006437T-1-40	MAR-T81006437T	mands-MAR-T81006437T
MAR-T81006437T-1-34	MAR-T81006437T	mands-MAR-T81006437T
MAR-T81006437T-1-36	MAR-T81006437T	mands-MAR-T81006437T
MAR-T61004102-1-SIYAH-36	SET5	mands-MAR-T61004102
MAR-T81006470A-1-44	MAR-T81006470A	mands-MAR-T81006470A
MAR-T81006470A-1-38	MAR-T81006470A	mands-MAR-T81006470A
MAR-T81006470A-1-42	MAR-T81006470A	mands-MAR-T81006470A
MAR-T81006470A-1-36	MAR-T81006470A	mands-MAR-T81006470A
MAR-T81006470A-1-34	MAR-T81006470A	mands-MAR-T81006470A
MAR-T81006470A-1-40	MAR-T81006470A	mands-MAR-T81006470A
MAR-T81006470A-1-46	MAR-T81006470A	mands-MAR-T81006470A
MS-T81006470C-34	MS-T81006470C	mands-MS-T81006470C
MS-T81006470C-44	MS-T81006470C	mands-MS-T81006470C
MS-T81006470C-36	MS-T81006470C	mands-MS-T81006470C
MS-T81006470C-42	MS-T81006470C	mands-MS-T81006470C
MS-T81006470C-40	MS-T81006470C	mands-MS-T81006470C
MS-T81006470C-38	MS-T81006470C	mands-MS-T81006470C
MS-T32006888E-46	MS-T32006888E	mands-MS-T32006888E
MS-T32006888E-50	MS-T32006888E	mands-MS-T32006888E
MS-T32006888E-44	MS-T32006888E	mands-MS-T32006888E
MS-T32006888E-42	MS-T32006888E	mands-MS-T32006888E
MS-T32006888E-36	MS-T32006888E	mands-MS-T32006888E
MS-T32006888E-38	MS-T32006888E	mands-MS-T32006888E
MS-T32001502-SIYAH-36	SET6	mands-MS-T32001502
MS-T32006762A-46	MS-T32006762A	mands-MS-T32006762A
MS-T32001503-PEMBE-40	SET5	mands-MS-T32001503
MS-T32006888E-48	MS-T32006888E	mands-MS-T32006888E
MS-T32006762B-50	MS-T32006762B	mands-MS-T32006762B
MS-T32006762A-36	MS-T32006762A	mands-MS-T32006762A
MS-T32001502-PEMBE-44	SET6	mands-MS-T32001502
MS-T32001502-SIYAH-38	SET6	mands-MS-T32001502
MS-T32001111-SIYAH-42	SET9	mands-MS-T32001111
MS-T32001503-PEMBE-44	SET5	mands-MS-T32001503
MS-T32001502-SIYAH-46	SET6	mands-MS-T32001502
MS-T32001503-PEMBE-42	SET5	mands-MS-T32001503
MS-T32001502-PEMBE-36	SET6	mands-MS-T32001502
MS-T32001503-PEMBE-38	SET5	mands-MS-T32001503
MS-T32001503-PEMBE-46	SET5	mands-MS-T32001503
MS-T32006888E-40	MS-T32006888E	mands-MS-T32006888E
MS-T32001502-SIYAH-42	SET6	mands-MS-T32001502
MS-T32001502-PEMBE-48	SET6	mands-MS-T32001502
MS-T32001111-SIYAH-38	SET9	mands-MS-T32001111
MS-T32001502-PEMBE-40	SET6	mands-MS-T32001502
MS-T32001502-PEMBE-50	SET6	mands-MS-T32001502
MS-T32001502-SIYAH-40	SET6	mands-MS-T32001502
MS-T32001111-SIYAH-36	SET9	mands-MS-T32001111
MS-T32001111-KUVARS-50	SET9	mands-MS-T32001111
MS-T32006762W-36	MS-T32006762W	mands-MS-T32006762W
MS-T32006762A-38	MS-T32006762A	mands-MS-T32006762A
MS-T32006762W-38	MS-T32006762W	mands-MS-T32006762W
MS-T32001503-PEMBE-50	SET5	mands-MS-T32001503
MS-T32001502-PEMBE-42	SET6	mands-MS-T32001502
MS-T32001503-PEMBE-48	SET5	mands-MS-T32001503
MS-T32006762W-44	MS-T32006762W	mands-MS-T32006762W
MS-T32006762B-44	MS-T32006762B	mands-MS-T32006762B
MS-T32006762B-40	MS-T32006762B	mands-MS-T32006762B
MS-T32001111-SIYAH-44	SET9	mands-MS-T32001111
MS-T32001111-KUVARS-36	SET9	mands-MS-T32001111
MS-T32006762B-42	MS-T32006762B	mands-MS-T32006762B
MS-T32001502-PEMBE-46	SET6	mands-MS-T32001502
MS-T32001503-PEMBE-36	SET5	mands-MS-T32001503
MS-T32006762B-38	MS-T32006762B	mands-MS-T32006762B
MS-T32006762W-50	MS-T32006762W	mands-MS-T32006762W
MS-T32001502-SIYAH-44	SET6	mands-MS-T32001502
MS-T32001502-SIYAH-48	SET6	mands-MS-T32001502
MS-T32001111-KUVARS-44	SET9	mands-MS-T32001111
MS-T32001111-SIYAH-48	SET9	mands-MS-T32001111
MS-T32001111-SIYAH-40	SET9	mands-MS-T32001111
MS-T32001502-PEMBE-38	SET6	mands-MS-T32001502
MS-T32001111-SIYAH-46	SET9	mands-MS-T32001111
MS-T32001111-SIYAH-50	SET9	mands-MS-T32001111
MS-T32001111-KUVARS-38	SET9	mands-MS-T32001111
MS-T32006762W-46	MS-T32006762W	mands-MS-T32006762W
MS-T32001502-SIYAH-50	SET6	mands-MS-T32001502
MS-T32006762W-48	MS-T32006762W	mands-MS-T32006762W
MS-T32006762B-36	MS-T32006762B	mands-MS-T32006762B
MS-T32006762W-42	MS-T32006762W	mands-MS-T32006762W
MS-T32006762B-48	MS-T32006762B	mands-MS-T32006762B
MS-T32001111-KUVARS-40	SET9	mands-MS-T32001111
MS-T32006762W-40	MS-T32006762W	mands-MS-T32006762W
MS-T32006762B-46	MS-T32006762B	mands-MS-T32006762B
MS-T32001111-KUVARS-46	SET9	mands-MS-T32001111
MS-T32001111-KUVARS-48	SET9	mands-MS-T32001111
MS-T32001111-KUVARS-42	SET9	mands-MS-T32001111
MS-T32006160-KAKAO-40	SET4	mands-MS-T32006160
MS-T32006160-KAKAO-42	SET4	mands-MS-T32006160
MS-T32006160-KAKAO-44	SET4	mands-MS-T32006160
MS-T32006160-KAKAO-48	SET4	mands-MS-T32006160
MS-T32006160-KAKAO-46	SET4	mands-MS-T32006160
MS-T32006160-KAKAO-50	SET4	mands-MS-T32006160
MS-T33002062X-42	MS-T33002062X	mands-MS-T33002062X
MS-T32006160-BEYAZ-44	SET4	mands-MS-T32006160
MS-T32006160-BEYAZ-38	SET4	mands-MS-T32006160
MS-T32006160-BEYAZ-40	SET4	mands-MS-T32006160
MS-T33002062X-36	MS-T33002062X	mands-MS-T33002062X
MS-T33002062X-38	MS-T33002062X	mands-MS-T33002062X
MS-T33002062X-50	MS-T33002062X	mands-MS-T33002062X
MS-T32006160-BEYAZ-42	SET4	mands-MS-T32006160
MS-T32006160-BEYAZ-50	SET4	mands-MS-T32006160
MS-T33002062X-44	MS-T33002062X	mands-MS-T33002062X
MS-T33002062X-40	MS-T33002062X	mands-MS-T33002062X
MS-T32006160-BEYAZ-36	SET4	mands-MS-T32006160
MS-T33002062X-48	MS-T33002062X	mands-MS-T33002062X
MS-T32006160-BEYAZ-48	SET4	mands-MS-T32006160
MS-T32006160-BEYAZ-46	SET4	mands-MS-T32006160
MS-T32006160-KAKAO-38	SET4	mands-MS-T32006160
MS-T33002062X-46	MS-T33002062X	mands-MS-T33002062X
MS-T32006160-KAKAO-36	SET4	mands-MS-T32006160
MS-T61005022F-BLACK-40	SET2	mands-MS-T61005022F
MS-T61005022F-BEYAZ-44	SET2	mands-MS-T61005022F
MS-T61005022F-BLACK-44	SET2	mands-MS-T61005022F
MS-T61005022F-BEYAZ-38	SET2	mands-MS-T61005022F
MS-T61005022F-BEYAZ-40	SET2	mands-MS-T61005022F
MS-T61005022F-BEYAZ-50	SET2	mands-MS-T61005022F
MS-T61005022F-BEYAZ-34	SET2	mands-MS-T61005022F
MS-T61005760N-BEYAZ-34	SET3	mands-MS-T61005760N
MS-T61005022F-BEYAZ-36	SET2	mands-MS-T61005022F
MS-T61005022F-BLACK-48	SET2_MS-T61005022F-BLACK-48	mands-MS-T61005022F
MS-T61005022F-BEYAZ-48	SET2	mands-MS-T61005022F
MS-T61005022F-BEYAZ-42	SET2	mands-MS-T61005022F
MS-T61005022F-BEYAZ-52	SET2	mands-MS-T61005022F
MS-T61005022F-BEYAZ-46	SET2	mands-MS-T61005022F
MS-T61005760N-BEYAZ-36	SET3	mands-MS-T61005760N
MS-T61005022F-BLACK-50	SET2_MS-T61005022F-BLACK-50	mands-MS-T61005022F
MS-T61005760N-BEYAZ-48	SET3	mands-MS-T61005760N
MS-T61005022F-BLACK-52	SET2	mands-MS-T61005022F
MS-T61005760N-BEYAZ-44	SET3	mands-MS-T61005760N
